NM_MUNICIP,CD_GEOCMU,latitude,longitude,COD_TSE
CASA BRANCA,3510807,-21.800500153287135,-47.08807894651263,76716
CÁSSIA DOS COQUEIROS,3510906,-21.263280861645093,-47.14440456175155,76732
CASTILHO,3511003,-20.897891473204176,-51.57020816674925,76759
CATANDUVA,3511102,-21.13344400343811,-48.96331848112575,76775
CATIGUÁ,3511201,-21.062983007772385,-49.05311343801295,76791
CEDRAL,3511300,-20.91361431297529,-49.264148870348976,75469
CERQUEIRA CÉSAR,3511409,-23.05924993540493,-49.143644879722345,75116
CERQUILHO,3511508,-23.187248690206967,-47.757202165897894,76813
CESÁRIO LANGE,3511607,-23.216774638133195,-47.90435690305925,76830
CHARQUEADA,3511706,-22.530066804581114,-47.745938286367476,76856
CLEMENTINA,3511904,-21.570375130145866,-50.4602217386479,76872
COLINA,3512001,-20.746164332412672,-48.58870485902746,74330
COLÔMBIA,3512100,-20.266849522953557,-48.72174666870092,79758
CONCHAL,3512209,-22.369055071674808,-47.14101892198468,76899
CONCHAS,3512308,-22.96574125378927,-48.047017061307315,76910
CORDEIRÓPOLIS,3512407,-22.479177427673246,-47.41467528330802,76937
COROADOS,3512506,-21.375570172925613,-50.30318607589094,74500
CORONEL MACEDO,3512605,-23.62974951020803,-49.30687143513018,76953
CORUMBATAÍ,3512704,-22.236427123354726,-47.61100663931694,75485
COSMÓPOLIS,3512803,-22.65211046138197,-47.18635194019482,76970
COSMORAMA,3512902,-20.442548141836948,-49.77473685443778,76996
COTIA,3513009,-23.675028602041213,-46.96051876181021,79634
CRAVINHOS,3513108,-21.339749286531013,-47.744586904853115,74527
CRISTAIS PAULISTA,3513207,-20.371446062837308,-47.40115192177936,74543
CRUZÁLIA,3513306,-22.73774459369667,-50.76884678425494,77011
CRUZEIRO,3513405,-22.551778557328447,-45.00619385125927,74560
CUBATÃO,3513504,-23.866286748889607,-46.40826984766694,77038
CUNHA,3513603,-23.05318022887453,-44.942186367619016,77054
DESCALVADO,3513702,-21.881312196955466,-47.654595486424476,84697
DIADEMA,3513801,-23.69788191647532,-46.611951484276936,77070
DIRCE REIS,3513850,-20.448281566760773,-50.62794100737517,77097
DIVINOLÂNDIA,3513900,-21.661770755693077,-46.697495894293354,77119
DOBRADA,3514007,-21.516175280730867,-48.357678728364036,77135
DOIS CÓRREGOS,3514106,-22.39600542335789,-48.34045713513579,77151
DOLCINÓPOLIS,3514205,-20.11714909152324,-50.52839510865021,77178
DOURADO,3514304,-22.116967777526245,-48.3339680349425,79650
DRACENA,3514403,-21.556433659676685,-51.58381090879254,77194
DUARTINA,3514502,-22.393215894966488,-49.41321459971094,77216
DUMONT,3514601,-21.24703040614941,-47.980160277688796,75027
ECHAPORÃ,3514700,-22.447819552096067,-50.20047157778304,77232
ELDORADO,3514809,-24.495173227687093,-48.233874107585926,74586
ELIAS FAUSTO,3514908,-23.070563875275077,-47.3707679781985,77259
ELISIÁRIO,3514924,-21.161482667357614,-49.09200181133158,79677
EMBAÚBA,3514957,-20.952927419945592,-48.84738347960207,79952
EMBU DAS ARTES,3515004,-23.651537572774924,-46.851479438201,74608
EMBU-GUAÇU,3515103,-23.85449507990453,-46.83020446242427,79790
EMILIANÓPOLIS,3515129,-21.800828183315268,-51.472492194070355,75760
ENGENHEIRO COELHO,3515152,-22.487259285503143,-47.17483981722541,74420
ESPÍRITO SANTO DO PINHAL,3515186,-22.192653443300735,-46.79339682015306,77275
ESPÍRITO SANTO DO TURVO,3515194,-22.670942460366174,-49.43301948586318,77291
